ID,TLC,EOM,LEAF,Gaia,RAdeg,DEdeg,plx,Gmag,bp-rp
24434,22,17,I,6050675232830514048,246.9245,-24.0743,7.39,15.0,3.7
24435,22,17,I,6050679390358862464,246.9097,-23.9591,7.12,13.7,2.8
24436,22,17,I,6050681451943165312,247.0384,-23.8725,7.32,14.3,3.2
24437,22,17,I,6050679390358863488,246.9082,-23.9568,6.98,15.3,3.6
24438,22,17,I,6050681211424993280,247.0107,-23.9178,7.12,15.9,3.9
24439,22,17,I,6050679321639383680,246.9125,-23.972,7.15,13.3,2.6
24440,22,-1,,6050679287279645824,246.9027,-23.9742,6.09,17.7,4.3
24441,22,17,I,6050662725885745536,247.0697,-24.0874,7.22,15.4,3.6
24442,22,17,I,6050661420215685376,247.1012,-24.159,7.21,16.3,4.2
24443,22,17,,6050627782031927296,247.7715,-24.078,7.52,13.1,2.3
24444,22,-1,,6050627747672189312,247.7681,-24.076,7.74,11.5,2.0
24447,22,17,I,6050675438988944896,246.9097,-24.0672,7.33,14.9,3.4
24448,22,17,,6050644274706358272,247.6453,-23.9524,7.46,16.1,3.6
24451,22,17,,6050644102907664640,247.6114,-23.9859,7.28,16.8,4.2
24452,22,17,I,6050720553325583872,247.5835,-23.5191,7.14,15.2,3.6
24453,22,17,B,6050742852797553408,248.412,-23.5898,7.14,16.6,3.9
24454,22,17,,6050687533616858112,247.0332,-23.8571,7.49,17.0,4.0
24456,22,17,I,6050682379656106496,246.9545,-23.8643,7.28,14.7,2.9
24459,22,-1,,6050706397113364096,247.556,-23.6258,7.32,17.3,4.1
24480,22,-1,,6069910329771691008,203.6883,-51.353,6.95,14.2,2.5
24495,22,-1,,6258403559490229760,231.5503,-17.6527,9.32,13.5,2.5
24507,22,-1,,6137498477756227072,198.5483,-41.9418,8.56,14.6,2.9
24510,22,-1,,5233403459606590720,178.1574,-70.9835,9.71,13.2,2.7
24513,22,27,,5233432944572581760,178.0494,-70.6989,10.12,16.2,3.6
24522,22,17,,6031533731842129152,248.7246,-30.5288,6.19,15.2,3.0
24523,22,17,,6031507687159043584,249.2457,-30.6557,6.31,15.7,3.5
24525,22,-1,,6128610472439814016,187.547,-48.1584,8.36,17.2,3.8
24529,22,-1,,6128681081703604224,187.5424,-47.7114,7.37,16.5,3.4
24543,22,-1,,5898074426349747968,220.4015,-52.003,7.48,15.0,2.7
24546,22,-1,,5237102014891860224,170.2355,-65.3448,6.74,14.2,2.7
24547,22,27,,6061870872594433536,198.0727,-59.9448,8.69,14.0,2.8
24549,22,27,,6061855891747318144,198.5245,-60.1023,8.88,13.9,2.6
24551,22,3,,5237123455370965632,174.366,-66.4213,6.64,17.5,3.6
24561,22,-1,,5367206985259953280,158.3094,-45.9376,7.68,15.2,2.9
24571,22,-1,,6001309634667353728,234.4422,-42.914,6.06,17.6,3.6
24582,22,-1,,5496706571421193984,99.6038,-56.5269,8.91,14.6,2.7
24584,22,-1,,5496780273059907584,99.528,-56.0814,11.7,13.1,2.6
24588,22,-1,,5846631330987145216,214.3478,-69.1798,9.07,16.5,3.5
24609,22,-1,,6047849655449492096,249.9393,-24.0345,6.43,13.4,2.7
24625,22,-1,,6242829355237317504,243.9213,-21.5797,5.98,16.3,3.6
24626,22,17,,6242873881159663488,242.9077,-22.1744,7.06,14.2,2.7
24629,22,-1,,4109752195822134144,261.8082,-26.0626,8.0,14.1,2.6
24631,22,8,,6730281274014730368,281.6712,-37.3543,6.62,15.2,3.2
24634,22,8,,6730252167025513984,282.5357,-37.2595,6.35,16.0,3.2
24635,22,9,,4109766661272060288,261.7846,-25.9697,10.04,14.3,2.8
24636,22,8,,6730281274026219776,281.6716,-37.355,6.68,15.2,2.9
24637,22,8,,6730264678271906816,282.0398,-37.2382,6.64,15.2,2.9
24638,22,-1,,4109768482338252160,261.7367,-25.9451,8.13,13.2,2.3
24640,22,8,,6730262822834357248,282.2103,-37.1996,6.85,15.8,3.3
24642,22,17,,6242864814487487488,242.4873,-22.2008,6.7,17.4,3.8
24643,22,17,,6242894054624897152,242.7088,-21.9635,6.89,15.2,3.2
24644,22,17,H,6242873473141419648,242.821,-22.2192,6.81,15.1,3.2
24645,22,17,,6242887732432964864,242.6774,-22.106,7.23,16.0,3.5
24646,22,17,,6242864092932966144,242.6279,-22.1398,6.76,16.6,3.7
24647,22,17,,6242857942539775232,242.4208,-22.3,6.84,11.8,2.0
24648,22,17,H,6242912505804505984,242.2097,-22.058,7.02,15.0,3.0
24649,22,17,H,6242916354095163648,242.4154,-22.013,7.15,12.9,2.2
24650,22,17,,6242845504314293504,242.8946,-22.3291,7.06,17.1,3.8
24651,22,17,,6242862649823879296,242.7081,-22.2144,6.44,16.6,3.9
24652,22,17,H,6242917865923662336,242.3737,-22.0162,7.12,13.4,2.4
24653,22,17,,6242837120538124160,242.6104,-22.515,7.03,14.8,3.1
24655,22,3,,5254925819940789888,154.4495,-60.143,6.45,15.9,3.0
24660,22,-1,,6240650741665146496,237.3441,-21.7827,7.46,15.3,3.0
24661,22,17,,6240629335548066560,237.4888,-22.0239,6.61,17.4,4.0
24676,22,-1,,6019428452433561600,249.4214,-37.1151,6.09,15.8,3.4
24686,22,-1,,5380187922612339072,179.0528,-42.832,8.3,16.2,3.4
24689,22,27,,5368942048975161600,178.5659,-52.1638,8.63,14.5,2.8
24690,22,27,,5368919371546982528,179.4034,-51.7701,8.9,15.3,3.1
24691,22,27,,5368932119010787456,178.6933,-52.1256,9.17,15.3,3.0
24704,22,-1,,6042119554910549120,242.1676,-27.5611,8.17,14.4,2.6
24705,22,-1,,6042130309508449792,241.6195,-27.605,6.25,13.0,2.2
24711,22,27,,5344237706328583296,179.8033,-54.6614,9.73,17.1,4.2
24712,22,27,,5344237500170145536,179.842,-54.6742,8.8,11.5,1.9
24732,22,-1,,6210301334521945856,232.8514,-28.3408,7.62,16.6,3.4
24735,22,17,,6048910447951319552,246.1851,-25.6902,6.1,15.0,2.9
24736,22,17,C,6048924840383036288,246.0479,-25.5431,5.93,15.8,3.4
24738,22,17,,6048958689024157568,246.2687,-25.1533,7.37,11.6,2.0
24739,22,17,,6048889862168705536,244.6328,-24.8747,5.77,18.1,4.2
24740,22,17,,6048936320834323968,246.545,-25.4202,6.52,16.9,4.0
24741,22,17,,6048958173628081408,246.2345,-25.1766,7.06,18.2,4.4
24742,22,17,,6048956764878770816,246.2957,-25.2515,6.99,17.4,3.9
24743,22,17,,6048897288171373440,246.1028,-25.9153,7.61,15.9,3.4
24744,22,17,B,6048956764878771456,246.2946,-25.2516,7.11,16.4,3.8
24745,22,17,,6048934224890273152,246.4651,-25.5054,6.17,17.0,3.8
24747,22,-1,,6049018028292412800,246.1605,-24.9058,7.48,17.0,3.9
24748,22,17,,6048930823276282752,246.151,-25.3906,6.26,17.8,4.0
24749,22,17,,6048885846378507392,244.4486,-24.9237,6.0,16.5,3.5
24750,22,17,,6048879386747653888,244.8326,-24.8378,5.96,17.6,4.2
24752,22,17,B,6048929002210154880,246.0474,-25.4399,7.02,17.4,3.9
24753,22,17,,6048959513657803520,246.5132,-25.2052,6.58,14.6,2.8
24754,22,-1,,6225090006439709696,226.2325,-26.2249,10.0,14.7,3.0
24755,22,17,,6048957516494012544,246.2855,-25.1953,6.09,18.0,4.1
24756,22,17,,6049011568657487872,246.1008,-24.9662,6.84,18.3,4.6
